JunkFood , Alternatives , CookTime , PrepTime , TotalTime , Description , RecipeCategory , RecipeIngredientQuantities , RecipeIngredientParts , Calories , FatContent , SaturatedFatContent , CholesterolContent , SodiumContent , CarbohydrateContent , FiberContent , SugarContent , ProteinContent , RecipeServings , RecipeYield , RecipeInstructions
,,,,,,,,,,,,,,,,,,,,
Burger , Portobello Mushroom Burger , 15 mins , 5 mins , 20 mins ," A delicious, low-carb burger alternative using grilled Portobello mushrooms as the ""bun"" ", Dinner ," 2 large Portobello mushrooms, 1 slice cheese, lettuce, tomato, onion "," c(""Portobello mushrooms"", ""cheese"", ""lettuce"", ""tomato"", ""onion"", ""mustard"") ",250, 14g , 7g , 25mg , 400mg , 15g , 3g , 6g , 20g , 1 burger , 1 serving ," 1. Grill Portobello mushrooms for 4-5 minutes per side, 2. Assemble with cheese, lettuce, tomato, and onion, 3. Add mustard and serve."
,,,,,,,,,,,,,,,,,,,,
Pizza , Cauliflower Crust Pizza , 20 mins , 10 mins , 30 mins , Low-carb pizza with a cauliflower crust , Dinner ," 2 cups cauliflower, 1 cup cheese "," c(""Cauliflower"", ""cheese"", ""egg"", ""garlic powder"", ""oregano"", ""tomato sauce"") ",300, 18g , 9g , 30mg , 800mg , 18g , 6g , 7g , 25g , 4 slices , 2 servings ," 1. Preheat oven to 400Â°F, 2. Grate cauliflower and steam, 3. Mix with cheese, egg, and spices, 4. Shape into crust and bake, 5. Add tomato sauce and toppings, bake again."
,,,,,,,,,,,,,,,,,,,,
Fries , Baked Sweet Potato Fries , 30 mins , 5 mins , 35 mins , Crispy baked sweet potato fries with a touch of seasoning , Side ," 2 large sweet potatoes, olive oil, paprika, salt "," c(""Sweet potatoes"", ""olive oil"", ""paprika"", ""salt"") ",180, 5g , 1g , 0mg , 450mg , 35g , 6g , 7g , 3g , 1 serving , 1 bowl ," 1. Preheat oven to 425Â°F, 2. Slice sweet potatoes into fries, 3. Toss in olive oil and seasonings, 4. Bake for 25 minutes until crispy."
,,,,,,,,,,,,,,,,,,,,
Soda , Sparkling Water with Fruit , 5 mins , 5 mins , 10 mins , Refreshing and healthy sparkling water infused with fresh fruit , Drink ," 1 can sparkling water, 1/2 cup mixed berries "," c(""Sparkling water"", ""mixed berries"", ""lime"") ",15, 0g , 0g , 0mg , 10mg , 4g , 1g , 3g , 0g , 1 glass , 1 serving ," 1. Add berries to a glass, 2. Pour sparkling water, 3. Squeeze lime for flavor, 4. Stir and enjoy."
,,,,,,,,,,,,,,,,,,,,
Ice Cream , Frozen Banana Ice Cream , 5 mins , 5 mins , 10 mins , Dairy-free frozen treat made from ripe bananas , Dessert , 2 ripe bananas ," c(""Bananas"") ",150, 0g , 0g , 0mg , 5mg , 40g , 4g , 30g , 2g , 1 serving , 1 bowl ," 1. Freeze bananas, 2. Blend frozen bananas until smooth, 3. Serve immediately."
,,,,,,,,,,,,,,,,,,,,
Chips , Kale Chips , 15 mins , 5 mins , 20 mins ," Crispy, healthy chips made from kale and olive oil ", Snack ," 4 cups kale, olive oil, salt "," c(""Kale"", ""olive oil"", ""salt"") ",100, 7g , 1g , 0mg , 200mg , 10g , 3g , 2g , 3g , 1 serving , 1 bag ," 1. Preheat oven to 350Â°F, 2. Toss kale with olive oil and salt, 3. Bake for 10-15 minutes until crispy."
,,,,,,,,,,,,,,,,,,,,
Donuts , Baked Apple Cinnamon Donuts , 20 mins , 10 mins , 30 mins , Baked donuts with apple and cinnamon flavor , Breakfast ," 1 cup whole wheat flour, 1/2 cup unsweetened applesauce, cinnamon "," c(""Whole wheat flour"", ""applesauce"", ""cinnamon"", ""baking powder"") ",150, 4g , 1g , 0mg , 150mg , 28g , 4g , 14g , 2g , 1 donut , 1 serving ," 1. Preheat oven to 375Â°F, 2. Mix dry ingredients, 3. Add wet ingredients and stir, 4. Pour into donut pan and bake for 20 minutes."
,,,,,,,,,,,,,,,,,,,,
Candy , Homemade Energy Bites , 10 mins , 5 mins , 15 mins ," Energy-packed snack made with oats, peanut butter, and honey ", Snack ," 1/2 cup oats, 1/4 cup peanut butter, 2 tbsp honey, 1 tbsp chia seeds "," c(""Oats"", ""peanut butter"", ""honey"", ""chia seeds"") ",200, 10g , 1g , 0mg , 100mg , 25g , 4g , 15g , 6g , 1 serving , 1 bite ," 1. Mix ingredients in a bowl, 2. Roll into balls, 3. Refrigerate for 10 minutes before eating."
,,,,,,,,,,,,,,,,,,,,
Milkshake , Avocado Chocolate Smoothie , 5 mins , 5 mins , 10 mins , Creamy avocado smoothie with a chocolate twist , Drink ," 1 avocado, 1 tbsp cocoa powder, 1 cup almond milk "," c(""Avocado"", ""cocoa powder"", ""almond milk"", ""honey"") ",250, 15g , 2g , 0mg , 200mg , 30g , 8g , 12g , 4g , 1 serving , 1 glass ," 1. Blend ingredients until smooth, 2. Serve chilled."
,,,,,,,,,,,,,,,,,,,,
Tacos , Lettuce Wrap Tacos , 10 mins , 10 mins , 20 mins , Healthy taco alternative using lettuce as wraps , Dinner ," 1 lb ground chicken, 1 head lettuce, salsa "," c(""Ground chicken"", ""lettuce"", ""salsa"", ""cheese"") ",280, 14g , 3g , 50mg , 500mg , 10g , 3g , 2g , 25g , 2 tacos , 2 servings ," 1. Cook ground chicken with spices, 2. Assemble in lettuce leaves with toppings, 3. Serve immediately."
,,,,,,,,,,,,,,,,,,,,
Pasta , Zucchini Noodles with Pesto , 15 mins , 10 mins , 25 mins , Low-carb pasta made with zucchini noodles and pesto sauce , Dinner ," 2 zucchinis, 1/2 cup pesto sauce "," c(""Zucchini"", ""pesto"", ""parmesan cheese"") ",220, 18g , 3g , 0mg , 300mg , 10g , 3g , 3g , 6g , 2 servings , 2 bowls ," 1. Spiralize zucchini, 2. Toss with pesto, 3. Top with parmesan cheese and serve."
,,,,,,,,,,,,,,,,,,,,
